UID        PID  PPID  C STIME TTY          TIME CMD
aab0309   8312  8311  0 16:20 pts/14   00:00:00 -bash
root      9624  1213  0 10:57 ?        00:00:00 sshd: np0352 [priv]
np0352    9792  9624  0 10:57 ?        00:00:00 sshd: np0352@pts/27
np0352    9815  9792  0 10:57 pts/27   00:00:00 -bash
root     10002     2  0 16:24 ?        00:00:00 [kworker/0:1]
root     10007     2  0 16:24 ?        00:00:03 [kworker/1:0]
root     10121  1213  0 14:36 ?        00:00:00 sshd: jdd0311 [priv]
jdd0311  10211 10121  0 14:36 ?        00:00:00 sshd: jdd0311@pts/47
jdd0311  10213 10211  0 14:36 pts/47   00:00:00 -bash
root     10489     1  4 Feb02 ?        01:43:10 python /usr/sbin/denyhosts --daemon --purge --config=/etc/denyhosts.conf
jl0844   11230     1  0 Jan27 ?        00:00:00 SCREEN
jl0844   11231 11230  0 Jan27 pts/16   00:00:00 /bin/bash
root     11450  1213  0 16:26 ?        00:00:00 sshd: sm1403 [priv]
sm1403   11588 11450  0 16:26 ?        00:00:00 sshd: sm1403@pts/5
sm1403   11589 11588  0 16:26 pts/5    00:00:00 -bash
jl0844   11630 11230  0 Jan27 pts/19   00:00:00 /bin/bash
root     11662  1213  0 16:28 ?        00:00:00 sshd: cju0012 [priv]
root     11746     2  0 14:40 ?        00:00:01 [kworker/2:2]
root     11903  1213  0 16:28 ?        00:00:00 sshd: np0352 [priv]
np0352   11964 11903  0 16:28 ?        00:00:00 sshd: np0352@notty
np0352   11966 11964  0 16:28 ?        00:00:00 /usr/lib/openssh/sftp-server
root     12244     2  0 16:29 ?        00:00:00 [kworker/u6:3]
root     12256  1213  0 16:29 ?        00:00:00 sshd: wcq0001 [priv]
wcq0001  12333 12256  0 16:29 ?        00:00:00 sshd: wcq0001@pts/7
wcq0001  12334 12333  0 16:29 pts/7    00:00:00 bash
cju0012  12445 11662  0 16:29 ?        00:00:00 sshd: cju0012@pts/8
cju0012  12446 12445  0 16:29 pts/8    00:00:00 -bash
root     12484  1213  0 16:30 ?        00:00:00 sshd: aes0292 [priv]
jl0844   12499     1  0 Jan27 ?        00:00:00 SCREEN -l
jl0844   12500 12499  0 Jan27 pts/33   00:00:00 /bin/bash
aes0292  12555 12484  0 16:30 ?        00:00:00 sshd: aes0292@notty
aes0292  12556 12555  0 16:30 ?        00:00:00 /usr/lib/openssh/sftp-server
root     12580  1213  0 16:31 ?        00:00:00 sshd: joa0040 [priv]
joa0040  12655 12580  0 16:31 ?        00:00:00 sshd: joa0040@pts/17
joa0040  12656 12655  0 16:31 pts/17   00:00:00 -bash
root     12988  1213  0 16:31 ?        00:00:00 sshd: np0352 [priv]
np0352   13072 12988  0 16:31 ?        00:00:00 sshd: np0352@pts/20
np0352   13073 13072  0 16:31 pts/20   00:00:00 -bash
root     13371  1213  0 16:31 ?        00:00:00 sshd: xl0186 [priv]
xl0186   13451 13371  0 16:32 ?        00:00:00 sshd: xl0186@pts/24
xl0186   13452 13451  0 16:32 pts/24   00:00:00 -bash
root     13494     1  0 00:09 ?        00:00:00 /usr/sbin/cupsd -l
root     13495     1  0 00:09 ?        00:00:00 /usr/sbin/cups-browsed
root     13507  1213  0 16:32 ?        00:00:00 sshd: cbs0179 [priv]
root     13525  1213  0 16:32 ?        00:00:00 sshd: cbs0179 [priv]
root     13741  1213  0 16:32 ?        00:00:00 sshd: gjt0034 [priv]
